name,description,location,website,logo_url
Café Coutume,Pionnier du café de spécialité en France avec plusieurs adresses à Paris,"Paris, France",https://www.coutumecafe.com,
La Caféothèque,Torréfacteur et espace culturel dédié au café depuis 2005,"Paris, France",https://www.lacafeotheque.com,
Terres de Café,Importateur et torréfacteur spécialisé dans les grands crus de café,"Paris, France",https://www.terresdecafe.com,
La Brûlerie de Belleville,Torréfacteur artisanal du quartier de Belleville à Paris,"Paris, France",https://www.labruleriedebelleville.com,
Café Mokxa,Torréfacteur lyonnais reconnu pour sa qualité et son expertise,"Lyon, France",https://www.cafemokxa.com,
L'Arbre à Café,Torréfacteur artisanal lyonnais avec coffee shop et formations,"Lyon, France",https://www.arbreacafe.com,
Loutsa Coffee Roasters,Micro-torréfacteur lyonnais de cafés de spécialité,"Lyon, France",https://www.loutsacoffee.com,
Café Moka,Torréfacteur bordelais de cafés premium et équipements professionnels,"Bordeaux, France",https://www.cafemokabordeaux.com,
Black List Coffee,Coffee roaster et bar à cafés spécialisés de Bordeaux,"Bordeaux, France",https://www.blacklistcoffee.fr,
Kaffa Roastery,Torréfacteur nantais de café éthique et traçable,"Nantes, France",https://www.kaffaroastery.com,
Bodam Coffee,Torréfacteur breton proposant des cafés bio et équitables,"Rennes, France",https://www.bodamcoffee.fr,
Cafés Pfaff,Torréfacteur alsacien historique depuis 1863,"Strasbourg, France",https://www.cafes-pfaff.fr,
Café Méo,Torréfacteur et distributeur de café pour professionnels et particuliers,"Montpellier, France",https://www.cafemeo.com,
Le Coffee Lab,Laboratory et coffee shop niçois spécialisé en cafés d'exception,"Nice, France",https://www.lecoffeelab.fr,
Maison Barbès,Torréfacteur lillois de cafés de spécialité,"Lille, France",https://www.maison-barbes.com,
Blackburn Coffee,Micro-torréfacteur artisanal de Provence,"Aix-en-Provence, France",https://www.blackburncoffee.com,
Hexagone Café,Torréfacteur toulousain de cafés premium et formations,"Toulouse, France",https://www.hexagonecafe.fr,
Baristador,Coffee shop et torréfacteur marseillais,"Marseille, France",https://www.baristador.fr,
Couleur Café,Torréfacteur grenoblois de cafés artisanaux,"Grenoble, France",https://www.couleurcafe-grenoble.fr,
Café Le Bonifieur,Torréfacteur breton spécialisé dans les cafés bio,"Brest, France",https://www.lebonifieur.com,
Manufacture du Café,Torréfacteur parisien traditionnel,"Paris, France",https://www.manufactureducafe.fr,
Café Joyeux,Torréfacteur engagé employant des personnes en situation de handicap,"Paris, France",https://www.cafejoyeux.com,
