name,category
Agrumes,Fruité
Baies,Fruité
Fruits à Noyau,Fruité
Fruits Tropicaux,Fruité
Pomme,Fruité
Raisin,Fruité
Floral,Floral
Jasmin,Floral
Rose,Floral
Lavande,Floral
Camomille,Floral
Chocolat,Chocolaté
Chocolat Noir,Chocolaté
Cacao,Chocolaté
Chocolat au Lait,Chocolaté
Noisette,Fruits à Coque
Amande,Fruits à Coque
Noisette Grillée,Fruits à Coque
Cacahuète,Fruits à Coque
Caramel,Sucré
Miel,Sucré
Cassonade,Sucré
Sirop d'Érable,Sucré
Vanille,Sucré
Terreux,Terreux
Boisé,Terreux
Tabac,Terreux
Épicé,Épicé
Cannelle,Épicé
Poivre,Épicé
