name,roaster_name,origin,process,variety,altitude_min,altitude_max,harvest_year,price_range,description,image_url,notes
Ethiopia Limu,Café Lomi,Ethiopia,Natural,Heirloom,1638,1935,2023,$$$,Profil floral et fruité typique de l'Éthiopie,,Tropical Fruit;Rose;Honey
Brazil,Café Lomi,Brazil,Natural,Catuai,972,1188,2024,$$,Profil gourmand avec des arômes de caramel,,Milk Chocolate;Almond;Caramel
Guatemala Bourbon,Café Lomi,Guatemala,Washed,Bourbon,1399,1762,2024,$$$$,Profil équilibré aux arômes de chocolat noir,,Chocolate;Spicy;Brown Sugar
Brazil Sul de Minas,Belleville Brûlerie,Brazil,Natural,Catuai,1010,1280,2024,$$$$,Profil gourmand avec des arômes de caramel,,Dark Chocolate;Hazelnut;Brown Sugar
Guatemala Antigua,Belleville Brûlerie,Guatemala,Washed,Bourbon,1636,1952,2024,$$,Café guatémaltèque complexe avec notes de cacao et épices,,Milk Chocolate;Cinnamon;Honey
Costa Rica West Valley,Belleville Brûlerie,Costa Rica,Honey,Caturra,1439,1667,2024,$$,Café rond et gourmand,,Caramel;Berry;Cocoa
Costa Rica Caturra,KB CaféShop,Costa Rica,Washed,Caturra,1420,1740,2024,$$,Profil doux avec des arômes fruités,,Caramel;Berry;Chocolate
Colombia Huila,KB CaféShop,Colombia,Washed,Caturra,1716,1947,2023,$$$$,Café rond et gourmand typique de Colombie,,Vanilla;Cocoa;Nutty
Single Origin Guatemala,KB CaféShop,Guatemala,Washed,Bourbon,1724,2109,2023,$$$$,Café corsé avec une belle structure,,Milk Chocolate;Cinnamon;Brown Sugar
Brazil Cerrado,Café Coutume,Brazil,Pulped Natural,Bourbon,952,1276,2024,$$$,Café corsé typique du Brésil,,Dark Chocolate;Nutty;Brown Sugar
Ethiopia Guji,Café Coutume,Ethiopia,Natural,Heirloom,1771,2071,2023,$$,"Café éthiopien aux notes florales et d'agrumes, avec une acidité vive",,Citrus;Floral;Caramel
Guatemala Atitlan,Café Coutume,Guatemala,Washed,Bourbon,1343,1675,2024,$$,Profil équilibré aux arômes de chocolat noir,,Dark Chocolate;Spicy;Brown Sugar
Costa Rica Central Valley,La Caféothèque,Costa Rica,Honey,Caturra,1508,1895,2024,$$$,Café rond et gourmand,,Caramel;Citrus;Chocolate
Colombia Antioquia,La Caféothèque,Colombia,Washed,Bourbon,1312,1614,2024,$$$,Café rond et gourmand typique de Colombie,,Honey;Milk Chocolate;Hazelnut
Brazil Mogiana,La Caféothèque,Brazil,Natural,Bourbon,1027,1228,2024,$$$$,Café corsé typique du Brésil,,Cocoa;Hazelnut;Honey
Single Origin Ethiopia,Terres de Café,Ethiopia,Washed,Heirloom,1672,1922,2023,$$,Café complexe avec des arômes de fruits rouges et jasmin,,Apple;Lavender;Brown Sugar
Kenya Muranga,Terres de Café,Kenya,Washed,SL28,1771,2066,2024,$$$$,Profil intense avec des notes de fruits noirs et caramel,,Tropical Fruit;Brown Sugar;Spicy
Costa Rica Tarrazú,Terres de Café,Costa Rica,Washed,Catuai,1356,1610,2023,$$$,Café rond et gourmand,,Brown Sugar;Tropical Fruit;Chocolate
Ethiopia Sidamo,La Brûlerie de Belleville,Ethiopia,Natural,Heirloom,1812,2089,2024,$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Stone Fruit;Floral;Brown Sugar
Colombia Cauca,La Brûlerie de Belleville,Colombia,Washed,Bourbon,1681,1955,2023,$$$,Café colombien équilibré avec des notes de caramel,,Honey;Cocoa;Nutty
Guatemala,La Brûlerie de Belleville,Guatemala,Washed,Caturra,1425,1692,2023,$$$,Profil équilibré aux arômes de chocolat noir,,Chocolate;Cinnamon;Brown Sugar
Kenya Nyeri,Café Mokxa,Kenya,Washed,SL28,1457,1767,2023,$$$$,Café kenyan puissant avec une acidité de cassis,,Stone Fruit;Vanilla;Earthy
Single Origin Costa Rica,Café Mokxa,Costa Rica,Washed,Catuai,1320,1714,2024,$$,Café costaricain équilibré aux notes de miel,,Honey;Tropical Fruit;Cocoa
Ethiopia,Café Mokxa,Ethiopia,Natural,Heirloom,1615,1851,2024,$$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Grape;Lavender;Vanilla
Ethiopia Harar,L'Arbre à Café,Ethiopia,Natural,Heirloom,1697,1964,2024,$$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Citrus;Jasmine;Brown Sugar
Colombia Tolima,L'Arbre à Café,Colombia,Washed,Caturra,1749,2142,2024,$$$,Café rond et gourmand typique de Colombie,,Vanilla;Dark Chocolate;Nutty
Brazil Pulped Natural,L'Arbre à Café,Brazil,Pulped Natural,Bourbon,911,1218,2023,$$$$,Profil gourmand avec des arômes de caramel,,Dark Chocolate;Nutty;Honey
Kenya Kiambu,Loutsa Coffee Roasters,Kenya,Washed,SL34,1671,2021,2023,$$,Café kenyan puissant avec une acidité de cassis,,Berry;Brown Sugar;Almond
Brazil Catuai,Loutsa Coffee Roasters,Brazil,Pulped Natural,Catuai,1100,1459,2023,$$,Café corsé typique du Brésil,,Dark Chocolate;Nutty;Brown Sugar
Ethiopia #1,Loutsa Coffee Roasters,Ethiopia,Washed,Heirloom,1893,2287,2024,$$,Profil floral et fruité typique de l'Éthiopie,,Citrus;Lavender;Honey
Guatemala Huehuetenango,Café Moka,Guatemala,Washed,Caturra,1599,1802,2023,$$$$,Profil équilibré aux arômes de chocolat noir,,Dark Chocolate;Spicy;Vanilla
Ethiopia Washed,Café Moka,Ethiopia,Washed,Heirloom,1900,2126,2023,$$,Café complexe avec des arômes de fruits rouges et jasmin,,Stone Fruit;Jasmine;Caramel
Kenya Washed,Café Moka,Kenya,Washed,SL34,1693,2067,2023,$$,Profil intense avec des notes de fruits noirs et caramel,,Apple;Honey;Cocoa
Costa Rica,Black List Coffee,Costa Rica,Washed,Catuai,1369,1577,2023,$$$$,Profil doux avec des arômes fruités,,Honey;Berry;Chocolate
Ethiopia Yirgacheffe,Black List Coffee,Ethiopia,Natural,Heirloom,1740,2069,2023,$$,"Café éthiopien aux notes florales et d'agrumes, avec une acidité vive",,Citrus;Floral;Vanilla
Colombia,Black List Coffee,Colombia,Washed,Caturra,1257,1561,2024,$$,Café rond et gourmand typique de Colombie,,Vanilla;Chocolate;Hazelnut
Single Origin Brazil,Kaffa Roastery,Brazil,Natural,Catuai,958,1190,2023,$$,Profil gourmand avec des arômes de caramel,,Dark Chocolate;Hazelnut;Honey
Guatemala Caturra,Kaffa Roastery,Guatemala,Washed,Caturra,1585,1856,2023,$$,Café corsé avec une belle structure,,Cocoa;Cinnamon;Brown Sugar
Ethiopia Natural,Kaffa Roastery,Ethiopia,Natural,Heirloom,1677,1973,2024,$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Tropical Fruit;Rose;Honey
Brazil #1,Bodam Coffee,Brazil,Natural,Bourbon,930,1256,2024,$$,Profil gourmand avec des arômes de caramel,,Chocolate;Nutty;Vanilla
Costa Rica Washed,Bodam Coffee,Costa Rica,Washed,Caturra,1413,1741,2023,$$,Café costaricain équilibré aux notes de miel,,Vanilla;Tropical Fruit;Milk Chocolate
Ethiopia Heirloom,Bodam Coffee,Ethiopia,Washed,Heirloom,1938,2187,2024,$$$$,Profil floral et fruité typique de l'Éthiopie,,Citrus;Jasmine;Caramel
Guatemala #1,Cafés Pfaff,Guatemala,Washed,Caturra,1748,2056,2023,$$,Café corsé avec une belle structure,,Dark Chocolate;Cinnamon;Caramel
Kenya Kirinyaga,Cafés Pfaff,Kenya,Washed,SL34,1550,1830,2023,$$,Café équilibré aux arômes de baies et agrumes,,Berry;Vanilla;Almond
Ethiopia #2,Cafés Pfaff,Ethiopia,Washed,Heirloom,1648,1929,2024,$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Tropical Fruit;Rose;Caramel
Brazil Bourbon,Café Méo,Brazil,Pulped Natural,Bourbon,934,1258,2023,$$,Profil gourmand avec des arômes de caramel,,Milk Chocolate;Almond;Vanilla
Kenya SL28,Café Méo,Kenya,Washed,SL28,1479,1828,2023,$$,Café kenyan puissant avec une acidité de cassis,,Stone Fruit;Vanilla;Tropical Fruit
Guatemala #2,Café Méo,Guatemala,Washed,Bourbon,1568,1875,2024,$$$,Profil équilibré aux arômes de chocolat noir,,Cocoa;Cinnamon;Caramel
Brazil Natural,Le Coffee Lab,Brazil,Natural,Bourbon,940,1330,2024,$$$$,Café corsé typique du Brésil,,Dark Chocolate;Hazelnut;Vanilla
Guatemala Washed,Le Coffee Lab,Guatemala,Washed,Caturra,1654,1967,2024,$$,Café guatémaltèque complexe avec notes de cacao et épices,,Cocoa;Spicy;Brown Sugar
Kenya #1,Le Coffee Lab,Kenya,Washed,SL28,1739,2014,2024,$$$$,Profil intense avec des notes de fruits noirs et caramel,,Stone Fruit;Brown Sugar;Hazelnut
Colombia Washed,Maison Barbès,Colombia,Washed,Caturra,1294,1562,2023,$$$,Café colombien équilibré avec des notes de caramel,,Honey;Cocoa;Hazelnut
Ethiopia #3,Maison Barbès,Ethiopia,Natural,Heirloom,1766,2084,2023,$$$$,Café complexe avec des arômes de fruits rouges et jasmin,,Citrus;Lavender;Vanilla
Kenya SL34,Maison Barbès,Kenya,Washed,SL34,1456,1674,2023,$$$$,Café équilibré aux arômes de baies et agrumes,,Tropical Fruit;Caramel;Nutty
Single Origin Kenya,Blackburn Coffee,Kenya,Washed,SL28,1661,1883,2024,$$$,Profil intense avec des notes de fruits noirs et caramel,,Grape;Vanilla;Honey
Colombia Nariño,Blackburn Coffee,Colombia,Washed,Typica,1514,1817,2023,$$$,Café rond et gourmand typique de Colombie,,Honey;Dark Chocolate;Almond
Brazil #2,Blackburn Coffee,Brazil,Natural,Bourbon,1031,1410,2023,$$,Café corsé typique du Brésil,,Chocolate;Nutty;Vanilla
Costa Rica Catuai,Hexagone Café,Costa Rica,Honey,Catuai,1358,1751,2023,$$$,Profil doux avec des arômes fruités,,Vanilla;Berry;Milk Chocolate
Guatemala #3,Hexagone Café,Guatemala,Washed,Caturra,1319,1691,2023,$$$,Profil équilibré aux arômes de chocolat noir,,Chocolate;Cinnamon;Brown Sugar
Kenya,Hexagone Café,Kenya,Washed,SL28,1797,2076,2023,$$,Profil intense avec des notes de fruits noirs et caramel,,Tropical Fruit;Honey;Chocolate
Single Origin Colombia,Baristador,Colombia,Washed,Typica,1588,1962,2023,$$,Café rond et gourmand typique de Colombie,,Caramel;Milk Chocolate;Nutty
Guatemala #4,Baristador,Guatemala,Washed,Caturra,1741,2078,2024,$$$,Café guatémaltèque complexe avec notes de cacao et épices,,Chocolate;Cinnamon;Honey
Brazil #3,Baristador,Brazil,Pulped Natural,Bourbon,977,1196,2023,$$,Café brésilien doux aux notes de chocolat et noisette,,Dark Chocolate;Almond;Vanilla
Brazil #4,Couleur Café,Brazil,Pulped Natural,Catuai,1095,1310,2023,$$$,Café brésilien doux aux notes de chocolat et noisette,,Cocoa;Hazelnut;Brown Sugar
Colombia Caturra,Couleur Café,Colombia,Washed,Caturra,1517,1821,2024,$$$$,Café colombien équilibré avec des notes de caramel,,Vanilla;Milk Chocolate;Almond
Kenya #2,Couleur Café,Kenya,Washed,SL28,1634,1973,2024,$$$$,Profil intense avec des notes de fruits noirs et caramel,,Apple;Vanilla;Hazelnut
Colombia #1,Café Le Bonifieur,Colombia,Washed,Caturra,1743,2013,2024,$$$$,Café rond et gourmand typique de Colombie,,Brown Sugar;Cocoa;Hazelnut
